name,type,loc,website,open_time,address,number,reviews,star_rating,tour,review_category,img
Il Fornaio San Jose,Restaurant,"San Jose, CA",https://www.ilfornaio.com/location/il-fornaio-san-jose/,7:00 AM - 9:00 PM,"302 S Market St, San Jose, CA 95113",14082713366,1032,4,No,1000+,"https://images.getbento.com/accounts/23ff2389c98ff1551eb861c58a668822/media/images/57044SJ_MDR_1.jpg?w=1200&fit=crop&auto=compress,format&h=600"
Yard House,Restaurant,"San Jose, CA",https://www.yardhouse.com/locations/ca/san-jose/san-jose-santana-row/8330?cmpid=br:yh_ag:ie_ch:loc_ca:YHGMB_sn:gmb_gt:san-jose-ca-8330_pl:locurl_rd:1028,11:00 AM - 12:00 AM,"300 Santana Row Suite 101, San Jose, CA 95128",14082419273,3058,4,No,1000+,http://media.yardhouse.com/en_us/images/marketing/san-jose-ca-yard-house-599x430.jpg.jpg
Poor House Bistro,Restaurant,"San Jose, CA",http://www.poorhousebistro.com/,5:00 PM - 9:00 PM,"91 Barack Obama Blvd, San Jose, CA 95110",14082925837,1397,4,No,1000+,https://poorhousebistro.com/wp-content/uploads/2017/12/poor-house-bistro-front-e1523903669101.jpg
The Farmers Union,Restaurant,"San Jose, CA",http://www.thefarmersunion.com/,11:30 AM - 9:00 PM,"151 W Santa Clara St, San Jose, CA 95113",14082770545,1603,4,No,1000+,https://urbandiningguide.com/wp-content/uploads/2014/07/farmerunionsanjose.jpg
The Founders of San Jose,Monuments,"San Jose, CA",https://www.sanjoseca.gov/Home/Components/FacilityDirectory/FacilityDirectory/2521/1396,Open 24 Hours,"550 S 1st St, San Jose, CA 95113",No Phone Number Available,2,5,No,1-10,https://www.sanjoseca.gov/home/showpublishedimage/5842/636716839931070000
Cesar Chavez Monument,Monuments,"San Jose, CA",http://www.sjsu.edu/news/archive/2898.html,Open 24 Hours,"1 Washington Square, San Jose, CA 95112",No Phone Number Available,2,5,No,1-10,https://localwiki.org/media/cache/cd/7a/cd7ac41875c45b18a8a2cdcebf4a577f.jpg
Sons of San Jose Memorial,Monuments,"San Jose, CA",https://www.sanjoseca.gov/Home/Components/FacilityDirectory/FacilityDirectory/2521/1396,Open 24 Hours,"393 W Santa Clara St, San Jose, CA 95110",No Phone Number Available,2,3,No,1-10,https://www.mercurynews.com/wp-content/uploads/2018/03/sjm-l-pizarro-col-0328.jpg
Olympic Black Power Statue,Monuments,"San Jose, CA",https://www.sanjoseca.gov/Home/Components/FacilityDirectory/FacilityDirectory/2521/1396,Open 24 Hours,"1 Washington Square, San Jose, CA 95112",No Phone Number Available,97,5,Yes,10-100,https://img.atlasobscura.com/QXaJ7tEB-wt6co8qktHXzr-ENyRtDQe5EE8xW1a328U/rs:fill:780:520:1/g:ce/q:81/sm:1/scp:1/ar:1/aHR0cHM6Ly9hdGxh/cy1kZXYuczMuYW1h/em9uYXdzLmNvbS91/cGxvYWRzL3BsYWNl/X2ltYWdlcy82Yzhl/YjM1ZTkxMmFkMjdj/N2ZfMzEyNTY3MjUy/OF9hYTFkMDNkMjFj/X28uanBn.jpg
Rainbow Park,Parks,"San Jose, CA",https://www.sanjoseca.gov/Home/Components/FacilityDirectory/FacilityDirectory/2345/2028?selcat=102npage=6,Open 24 Hours,"Rainbow Drive &, Donington Dr, San Jose, CA 95129",14087935510,329,4,No,100-500,https://cdn-az.allevents.in/events7/banners/1219f74741d0ad13eb8fead571f668c7194b55f62be9e9e78d77c139471b4c49-rimg-w1200-h854-gmir.jpg?v=1631965242
Murdock Park,Parks,"San Jose, CA",https://www.sanjoseca.gov/Home/Components/FacilityDirectory/FacilityDirectory/2297/2028?fsiteid=1selcat=102npage=5,Open 24 Hours,"1188 Wunderlich Dr, San Jose, CA 95129",14085353570,334,5,No,100-500,https://cdn.businessyab.com/assets/uploads/b6fb93d9fbd8d4ba2d9581c2bad83e0e_-united-states-california-santa-clara-county-san-jose-west-valley-vallejo-drive-1497-hathaway-park.jpg
Starbird Park,Parks,"San Jose, CA",https://www.sanjoseca.gov/Home/Components/FacilityDirectory/FacilityDirectory/2663/36,7:00 AM - 8:00 PM,"Boynton Ave  Williams road, San Jose, CA 95117",14085353570,289,4,No,100-500,https://ssl.cdn-redfin.com/photo/8/mbphoto/667/genMid.ML81820667_20_8.jpg
John Mise Park,Parks,"San Jose, CA",https://www.sanjoseca.gov/Home/Components/FacilityDirectory/FacilityDirectory/2241/2028?utm_campaign=google_mapsutm_medium=organicutm_source=google,6:00 AM - 8:00 PM,"594 Park Meadow Dr, San Jose, CA 95129",14087935510,558,5,No,500-1000,https://cdn.businessyab.com/assets/uploads/99c9af0c3db1fee14502f5402c55f0b8_-united-states-california-santa-clara-county-san-jose-mitty-park-meadow-drive-594-john-mise-park-408-793-5510.jpg
Anno Domini Gallery,Galleries,"San Jose, CA",http://www.galleryad.com/,12:00 PM - 7:00 PM,"366 S 1st St, San Jose, CA 95113",14082715155,33,5,Yes,10-100,https://9968c6ef49dc043599a5-e151928c3d69a5a4a2d07a8bf3efa90a.ssl.cf2.rackcdn.com/632906.jpg
Art Ark Gallery,Galleries,"San Jose, CA",http://www.artarkgallery.com/,6:00 PM - 9:00 PM,"1035 S 6th St, San Jose, CA 95112",No Phone Number Available,11,5,Yes,10-100,https://thecorecompanies.com/wp-content/uploads/2021/06/artistark3.jpg
Art Object,Galleries,"San Jose, CA",http://www.artobjectgallery.com/,12:00 PM - 2:00 PM,"592 N 5th St, San Jose, CA 95112",14082889305,11,5,No,10-100,https://images.squarespace-cdn.com/content/v1/52780f14e4b068640a036c39/1465926868954-NEYGXIAH1D0DJVACCIVL/GALLERY+INTERIOR
Citadel Art Studios,Galleries,"San Jose, CA",https://citadelartstudios.wordpress.com/,9:00 AM - 5:00 PM,"199 Martha St, San Jose, CA 95112",14087530278,16,4,Yes,10-100,https://images.squarespace-cdn.com/content/v1/5743750ce32140d1843867ef/1466623022352-EVSYRTYX3HHNJDNJZFAU/ron+h+4.jpg?format=500w
Hotel Elan,Hotels,"San Jose, CA",http://www.hotelelansanjose.com/,Open 24 Hours,"1215 S First St, San Jose, CA 95110",14082805300,318,4,No,100-500,https://www.hotelelansanjose.com/wp-content/uploads/2018/06/hotelelan-hero-shot.jpg
Pacific Motor Inn,Hotels,"San Jose, CA",https://www.sanjose.org/hotels/pacific-motor-inn,Open 24 Hours,"455 S Second St, San Jose, CA 95113",14082983500,326,4,No,100-500,https://ak-d.tripcdn.com/images/220i0g0000007xl628B60_Z_550_412_R5_Q70_D.jpg
Hyatt Place,Hotels,"San Jose, CA",https://www.hyatt.com/en-US/hotel/california/hyatt-place-san-jose-downtown/sjczj?src=corp_lclb_gmb_seo_sjczj,Open 24 Hours,"282 Almaden Blvd, San Jose, CA 95113",14089980400,1631,4,No,1000+,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/62/c0/b6/exterior.jpg?w=900&h=-1&s=1
The Arena Hotel,Hotels,"San Jose, CA",https://www.arenahotelsj.com/,Open 24 Hours,"817 The Alameda, San Jose, CA 95126",14082946500,941,4,No,500-1000,https://ak-d.tripcdn.com/images/220n0w000000ko3duF484_R_550_412_R5_Q70_D.jpg
